,director,distributor,genre_bomojo,rating,title,releaseDate,isCult,canontitle,num_theaters,leadActor,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,prod_budget_ADJ,CULT_INDEX,is_missing_prodbudgetADJ,genre
3383,Jorma Taccone,Universal,Comedy,R,MacGruber,2010-05-21,1,macgruber,2551,Will Forte,88,2010,4447844.5,10315976,10914627.4352,1.00020671352,0,Comedy
3654,Stephen Herek,Fox,Romantic Comedy,PG-13,Life or Something Like It,2002-04-26,0,lifeorsomethinglikeit,2606,Angelina Jolie,103,2002,9200177.1931,31618701.1671,52918287.9377,1.00020657882,0,Romantic
3927,Robert Zemeckis,Fox,Drama,PG-13, Cast Away,2000-12-22,0,castaway,2774,Tom Hanks,143,2000,46758419.5245,612287547.823,124390243.902,1.00020644427,0,Drama
3446,Jun Falkenstein,Buena Vista,Animation,G,The Tigger Movie,2000-02-11,0,tiggermovie,2723,Jim Cummings,77,2000,15261929.1623,119386284.199,41463414.6341,1.0002064014,0,Animation
5067,Garry Marshall,Buena Vista,Drama,PG-13,Beaches,1988-12-23,0,beaches,1740,Bette Midler,123,1988,4.8547760304E+11,249804689.126,30262198.8157,1.00020639496,1,Drama
3930,Harold Ramis,Warner Bros.,Crime Comedy,R,Analyze That,2002-12-06,0,analyzethat,2635,Robert De Niro,100,2002,16323334.6138,70313349.8657,79377431.9066,1.00020638148,0,Crime
3439,Akiva Schaffer,Paramount,Action Comedy,PG-13,Hot Rod,2007-08-03,1,hotrod,2607,Andy Samberg,88,2007,6700867.70294,22190523.8721,2785158.1443,1.00020634475,1,Action
3676,Barbet Schroeder,Warner Bros.,Thriller,R,Murder by Numbers,2002-04-19,0,murderbynumbers,2663,Sandra Bullock,120,2002,13768524.2276,69908770.4128,66147859.9222,1.00020626097,0,Thriller
4562,Wes Craven,Dimension Films,Horror,R,Scream 2,1997-12-12,0,scream2,2663,David Arquette,120,1997,62779558.7467,368493891.938,35588785.0467,1.00020620887,0,Horror
4125,Walter Hill,Paramount,Action Comedy,R,Another 48 Hrs.,1990-06-08,0,another48hrs,2721,Eddie Murphy,95,1990,39785784.8143,337279020.27,42332416.812,1.00020614616,1,Action
4050,Troy Miller,New Line,Comedy,PG-13,Dumb and Dumberer: When Harry Met Lloyd,2003-06-13,0,dumbanddumberer,2609,Derek Richardson,96,2003,15508441.52,53732743.2785,24576086.9565,1.00020596998,0,Comedy
4117,Dominic Sena,Warner Bros.,Action,R,Swordfish,2001-06-08,0,swordfish,2678,Hugh Jackman,99,2001,27801700.4571,163789374.843,137075098.814,1.00020596873,0,Action
3912,Burt Kennedy,Buena Vista,War,PG-13,The Alamo: 13 Days to Glory,2004-04-09,0,alamo,2609,Brian Keith,137,2004,12627408.8032,42926866.1541,134812069.878,1.00020592797,0,War
3911,John Lee Hancock,Buena Vista,War,PG-13,The Alamo,2004-04-09,0,alamo,2609,Dennis Quaid,137,2004,12627408.8032,42926866.1541,134812069.878,1.00020592797,0,War
4237,Rob Bowman,Buena Vista,Action Horror,PG-13,Reign of Fire,2002-07-12,0,reignoffire,2629,Christian Bale,109,2002,23124994.9966,94235080.015,79377431.9066,1.00020588664,0,Action
3547,Marc Lawrence,Warner Bros.,Romantic Comedy,PG-13,Two Weeks Notice,2002-12-20,0,twoweeksnotice,2755,Sandra Bullock,100,2002,21196289.4,204293937.371,79377431.9066,1.0002058105,0,Romantic
3992,Todd Phillips,DreamWorks,Comedy,R, Old School,2003-02-21,0,oldschool,2689,Luke Wilson,91,2003,24958098.88,154563956.676,31043478.2609,1.00020579318,0,Comedy
3959,Stephen Hopkins,Warner Bros.,Horror,R,The Reaping,2007-04-05,0,reaping,2603,Hilary Swank,96,2007,12649447.3147,40002193.3457,5020719.96128,1.00020555179,1,Horror
